# Matt T1
I want you to feel better and be healthy.	Chief Complaint
Let's have your mom come in, ok? Yeah.	Others
# Matt T2
Hi, I'm one of the psychiatrists who work here in the Department of Psychological Medicine and I'm seeing you today because you were referred up from the emergency room.	Chief Complaint
I understand that you were brought in by ambulance last night after cutting your arms and overdosing on Tylenol.	Chief Complaint
It looks like you are bandaged up.	Chief Complaint
Are you still feeling suicidal today? I never was.	Chief Complaint
I need to get out of here.	Chief Complaint
I need to see Carl.	Chief Complaint
Is Carl your boyfriend? Yeah.	Client Details
How long have you been together? Couple of months.	Social History
We've been living together for the last four and a half weeks.	Social History
Why do you care. Nobody cares.	Chief Complaint
Oh God!	Others
I can't believe he is gone.	Chief Complaint
I hate him.	Chief Complaint
I need him to come back because I love him.	Chief Complaint
Jack the jerk was before him.	Social History
Bill left me too.	Social History
They all leave.	Chief Complaint
Everybody leaves me.	Chief Complaint
I hate them.	Chief Complaint
Carl was different he said he loved me, but well if he loved me he would be here now.	Chief Complaint
Carl made the 911 call for the ambulance.	Client Details
According to your file, you attempted suicide before.	Medical History
This was your fifth attempt.	Medical History
I've been in to have my arms stitched up and stomach pumped a few times.	Medical History
Nobody cares.	Chief Complaint
I wish someone would help me!	Chief Complaint
Maybe you're the one.	Chief Complaint
I am here to help you.	Chief Complaint
Can you tell me about your past medical history, your family history? I have four kids.	Family History
Oh my God!	Others
Where's my baby? Where is she? Your baby was removed and taken to foster care after the ambulance responded to your home last night.	Chief Complaint
Can you tell me about the other three children? They took them from me.	Family History
Nobody cares.	Chief Complaint
Who the hell do they think they are? I hate you all!	Chief Complaint
My kids need me.	Family History
I wish Carl would come and get me from this place.	Chief Complaint
Oh, screw him.	Others
What about your family? Can they help with the kids? Mom died when I was four and dad is a drunk no good SOB.	Family History
What do they care? They hate me and would never help me.	Family History
They've never helped me.	Family History
Your chart states that you have been on Depakote, Geodon and Abilify.	Medical History
Can you tell me about these medications? Did they seem to help at all? Well if you read the file you will see that they sucked and didn't work.	Chief Complaint
I thought you were going to help me?	Chief Complaint
What about therapy? Did you find Dialectical Behavior Therapy to be beneficial with your therapist? No.	Chief Complaint
I can't get to the appointments all the time.	Chief Complaint
I told him that it was tough for me to get there all the time and he was no help.	Chief Complaint
Asshole.	Others
I hate him.	Chief Complaint
He was going to help me too.	Chief Complaint
I need to get back to my room.	Chief Complaint
I love to watch my TV you know.	Client Details
I have my favorites that I never like to miss.	Client Details
You find some joy in your life then with the favorite TV programs? Never said I didn't.	Client Details
I enjoy things, of course!	Client Details
I'm not crazy.	Chief Complaint
Did you have any drugs or alcohol in your system last night before the overdose? You're the one with my chart.	Chief Complaint
No.	Others
I don't drink like my dad.	Social History
I might binge eat and spend, but I don't drink or do drugs.	Client Details
Has the eating and spending binges caused problems with work or your relationships with Carl or your children? Sometimes.	Chief Complaint
I wish you could help me.	Chief Complaint
Get my kids, my poor baby girl. Could you call Carl for me and see if he could come up here? Carl gets pissed about me spending too much.	Chief Complaint
He was mad last night.	Chief Complaint
It's not my fault.	Chief Complaint
I bought stuff for the house and him too.	Social History
I don't have a job right now, got fired from my last one.	Chief Complaint
They hated me.	Chief Complaint
I am here to help you get therapy and medication and then we will work on getting in touch with your family.	Chief Complaint
I don't have good results with the meds and the therapist is a jerk.	Medical History
Maybe you could be my new therapist.	Chief Complaint
You could be the one to help me.	Chief Complaint
I will work in conjunction with your therapist and physicians to help get your treatment started.	Chief Complaint
Can you spell the word front backwards for me? T N O R F E L O H S S A.	Chief Complaint
How's this going to help?	Chief Complaint
This is the formal status exam that you have had before.	Medical History
Now I am going to say three words and ask you to repeat them back to me in a few minutes, ok? Ok.	Chief Complaint
The words are horse, basketball and car.	Chief Complaint
Do you often feel suicidal and can you recall what exactly triggered the attempt last night? I'm not suicidal.	Chief Complaint
Sometimes I cut myself to feel the pain and release it.	Chief Complaint
In the past I cut too deep, but got stitched up.	Chief Complaint
Would you be willing to see the therapist again and try the Dialectical Behavioral Therapy and a new medication? This is the help I can offer you today.	Chief Complaint
I knew you would help me.	Chief Complaint
I will do therapy and a different medication.	Chief Complaint
Thank you.	Others
Now can you remember those three words? Horse, baseball and car.	Chief Complaint
Good, thank you.	Others
Now let's move over to the lab and check your blood work and run some tests before we begin your new medication.	Others
Lead the way? Sure.	Others
Let's go Doc.	Others
Then maybe Carl will come and watch TV with me and take me home.	Chief Complaint
# Matt T3
Please have a seat Keegan, Mr. and Mrs. Miller.	Others
Thank you for coming in today.	Others
What can I do for you? Hey can I play with that thing on the counter.	Chief Complaint
What is that? Can I see it? It' a blood pressure cuff.	Chief Complaint
How are you today, Keegan? Hey could I see the other tools on your desk too? Look at me jump.	Chief Complaint
I can jump from that chair to the door.	Chief Complaint
wanna see me?	Chief Complaint
Keegan could you please sit with your mom for a minute? We are talking about how school and after school care are going for you.	Chief Complaint
See this is typical.	Chief Complaint
The constant movement and the lack of listening.	Chief Complaint
The teacher is getting frustrated and I know we are at home too.	Chief Complaint
How long has this been going on? Has it gotten worse? Well, it has been forever really, but definitely worse since starting kindergarten.	Chief Complaint
We waited to start him in school because of his energy level and inability to concentrate and sit still.	Client Details
He just turned six, but is older than many in his class.	Client Details
Keegan please don't stand on the chair.	Chief Complaint
Sit down and behave.	Chief Complaint
I can jump, look dad, watch this.	Chief Complaint
Hey, I can see a rainbow in the picture.	Chief Complaint
see.	Others
Keegan, how is kindergarten going? Are you making new friends? I don't go to school today.	Chief Complaint
I get to come here.	Chief Complaint
School is hard because I have a lot of papers to do.	Chief Complaint
I have lots of friends.	Social History
I can't remember their names.	Chief Complaint
I am tired of the time out chair.	Chief Complaint
Hey, do you want to see my karate jump? I'm 6 and can jump higher than an eight years old.	Chief Complaint
Watch.	Others
Keegan, we need to talk about how kindergarten and after school care.	Chief Complaint
How is afterschool care going? Do you have friends their too? I don't like afterschool care because we have rest time.	Chief Complaint
I always have to sit in the chair.	Chief Complaint
It's hard to be quiet when the little kids rest.	Chief Complaint
Theo is my friend and we play wrestle mania and sword fighting.	Social History
Do you want to see my wrestle move? I can't do it at afterschool care anymore.	Chief Complaint
Miss April makes me sit in the chair when I do it.	Chief Complaint
Tell me about the chair. Why do you sit in the chair? Well that is where kids go that can't listen and get in trouble.	Chief Complaint
Me and Theo are in the chairs a lot.	Chief Complaint
I wish I could climb that bookshelf in the afterschool care.	Chief Complaint
It is so tall and it's like stairs going up.	Chief Complaint
Once I tried it.	Chief Complaint
I almost made it to the top.	Chief Complaint
He spends a lot of time in the chair for time out and I get a lot of calls for behavior issues.	Chief Complaint
I don't know what to do and am at my wits end between school and afterschool care.	Chief Complaint
Keegan, sit down and listen to the doctor.	Chief Complaint
Quit fidgeting.	Chief Complaint
Okay, first I am going to have you fill out a questionnaire and I will also send two with you for the teacher and afterschool care.	Chief Complaint
These will tell us about the various behaviors that are occurring at all three places.	Chief Complaint
Since the behavior has escalated since starting school, more information would be beneficial.	Chief Complaint
Okay.	Others
Isn't there some medicine you could give him? We are really having trouble here.	Chief Complaint
He has had his immunizations and his check up was normal before he started school.	Medical History
I am at a loss here.	Chief Complaint
For now, we need to do more diagnostic testing and get the questionnaires filled out.	Chief Complaint
Can you tell me if Keegan has trouble with losing things or forgetting things? Constantly.	Chief Complaint
We have gone through two backpacks because and I don't know how many jackets that were left at school.	Chief Complaint
who knows where. He also has trouble with interrupting and just not answering when talked to.	Chief Complaint
He forgets to put his lunch in his backpack in the mornings.	Chief Complaint
This has been happening more in the last six months since starting kindergarten.	Chief Complaint
He always was full of energy and was busy.	Chief Complaint
In daycare, he was always in time out, but you know how that goes with so many kids to watch and he was just excited to have playmates, being an only child and all.	Chief Complaint
Hey, are we done yet? This is boring.	Chief Complaint
I want to go home and play. Stop interrupting.	Chief Complaint
We will be going in a bit.	Others
Sit still.	Chief Complaint
How about sleeping and eating habits? Is there history of previous medical conditions or issues? Bedtime is 8:00 pm and if he has a hard time falling asleep, we let him watch movies on his TV in his room.	Medical History
He eats normal fine.	Client Details
We limit sugar because of his hyper behavior.	Client Details
He is healthy otherwise.	Client Details
Let's move to the lab.	Others
Medication can be helpful, and I would also suggest counselling in conjunction to get the best results.	Chief Complaint
As a family, the counselling can help with communication, problem solving and coping with situations that arise in school or after school.	Chief Complaint
We will see you back for a follow-up in week and see how the medication and counseling is working.	Chief Complaint
Hey, can I please go now? I will jump off the chair on my way.	Chief Complaint
watch.	Others
Stop, take my hand and let's go.	Chief Complaint
We are going to the lab and then home.	Others
Stop jumping, and walk normal. 	Chief Complaint
Oh a lab.	Others
What's in the lab? I want to skip come on.	Chief Complaint
Ok, follow me.	Others
# Matt T4
Please have a seat Mr. and Mrs. King.	Others
Thank you for coming in today.	Others
What can I do for you? I don't know why I'm here.	Chief Complaint
Remember, we are here because you are having a hard time remembering things.	Chief Complaint
How long has this been going on? Well it has been gradual, but it is occurring more often lately.	Chief Complaint
I noticed forgetfulness and searching for words about six months ago.	Chief Complaint
Are you noticing that it is harder to remember people, places or things? I do have a hard time finding the words sometimes.	Chief Complaint
I forget the names of things.	Chief Complaint
Like my tools or household objects.	Chief Complaint
I'm good in the mornings, but as the day goes on I feel that I have harder time finding the words.	Chief Complaint
How about people's names or places? Yes, I've always had a hard time remembering names, but not faces.	Chief Complaint
It is the same as my tools and things, I have a difficult time getting the names or words usually more so in the afternoon and evenings.	Chief Complaint
I have a good memory for history and places, so this has been frustrating.	Chief Complaint
Actually, I forgot my granddaughter's name the other day, awful.	Chief Complaint
Are you noticing it is more difficult to remember things that happened yesterday than maybe twenty years ago? Well, yes.	Chief Complaint
I can remember twenty years ago like it was yesterday.	Chief Complaint
I'll forget details and names I read in newspaper yesterday.	Chief Complaint
It is completely maddening.	Chief Complaint
I also have a hard time planning and organizing.	Chief Complaint
It's ok dear.	Others
That is why we are here today.	Chief Complaint
We are going to see if there is something we can do to help your memory.	Chief Complaint
Have you felt depressed or suicidal at all in the last six months since this began? No, not depressed mad sometimes.	Medical History
If it continues to get worse I could see myself wandering off in the woods and letting nature take its course.	Chief Complaint
But I wouldn't injure or kill or myself.	Chief Complaint
I wouldn't do that to my family.	Chief Complaint
Do you have other medical issues? Are you on any medications? I have high blood pressure and am on Lotensin once a day.	Medical History
I get heartburn sometimes, but take Tums and that seems to work.	Medical History
I take Advair for my asthma.	Medical History
I think I'm healthy overall.	Client Details
I wrote down her meds here.	Medical History
The Lotensin is once a day at 20mg.	Medical History
and Advair is twice a day.	Medical History
Thank you.	Others
What about family history of illnesses? My dad had heart trouble.	Family History
I don't know details.	Chief Complaint
He did die from a heart attack I think.	Family History
My mom was heathy and died of old age when she was 89 years old.	Family History
Two of my brothers are living and healthy, don't know much about their medicines or troubles with being sick.	Family History
My sister passed when she was in her mid-40's of breast cancer.	Family History
I can't think of anyone else right now.	Family History
Thank you.	Others
Can you tell me a little about your immediate family and social history? Well we have been married for 55 years and have three wonderful children.	Family History
A boy and two girls.	Family History
We have seven grandchildren.	Family History
I stayed home and raised my children and cared for our home.	Social History
We also have two great grandchildren and you retired seventeen years ago, remember? We spend a lot of time at the Senior Center and traveling to see the kids and grandkids.	Family History
We also play cards with our neighbors once a week.	Social History
We both have a beer once in a while.	Social History
Neither of use smoked or did any drugs. Drugs, No never.	Medical History
I don't smoke.	Medical History
How old are you, Marilyn? I'm 82.	Client Details
OK. Can you tell me the date today? June 24, 2004.	Chief Complaint
I am going to say three words and ask you to repeat them.	Chief Complaint
The words I want you to repeat are BUNNY, TRUCK and HORSE.	Chief Complaint
Can you repeat these words back to me? Bunny, Dodge, Pony.	Chief Complaint
Who is the President of the United States? Bill Clinton.	Chief Complaint
I am going to point to three objects and have you name them for me.	Chief Complaint
Ok.	Others
What it that on the wall? It's a. I don't recall.	Chief Complaint
I know what it is.	Chief Complaint
It is ten fifteen.	Chief Complaint
Remember it's a clock, Dear. Yes, a clock.	Chief Complaint
I knew that, I just couldn't get the word.	Chief Complaint
How about the item on your foot? That's my shoe.	Chief Complaint
Ok. Good.	Others
How about this thing I am writing with? I know it pen.	Chief Complaint
Correct.	Others
Ok now can you remember the three words I asked you to repeat earlier? What? No.	Chief Complaint
You mean the pen and shoe? Remember horse, truck and bunny? Oh, no, I don't remember.	Chief Complaint
Ok.	Others
I think I know what is going on, but we need to run some tests to be completely sure.	Chief Complaint
I suspect that you are showing signs of early Alzheimer's.	Chief Complaint
Oh dear.	Others
We can start you on medication called Aricept to slow symptoms.	Chief Complaint
We will talk about this more after we do some lab work.	Chief Complaint
Do you have any questions before we move over to the lab? I don't think so.	Chief Complaint
Let's go.	Others
I'm right here with you Dear.	Others
We will get through this.	Others
Thank you, Doctor.	Others
Let's go to the lab.	Others
# Matt T5
Please have a seat Arianna, Mr. and Mrs. Court.	Chief Complaint
Thank you for coming in today.	Others
What can I do for you? We have some concerns about our daughter and have had some reports from her teachers and afterschool staff.	Chief Complaint
She has a difficult time concentrating, listening and following directions and seems to be in her own world a lot of the time.	Chief Complaint
Have there been issues with losing or forgetting things? Constantly.	Chief Complaint
Following through is a battle too. She is easily distracted and it is hard to complete simple tasks.	Chief Complaint
School is a source of negativity and avoidance.	Chief Complaint
Her teachers have been concerned for some time.	Chief Complaint
One though she might be having small seizures when she spaces out.	Chief Complaint
We had her checked and everything is fine.	Chief Complaint
She isn't having seizures, thank God.	Chief Complaint
So, one teacher thought she might need a consult about attention deficit.	Chief Complaint
She is not hyper, she is quite content to play on her own or with her little sister.	Social History
Arianna, do you like school? What is your favorite part of school? I don't know.	Chief Complaint
No.	Others
It's hard to do the papers.	Chief Complaint
I don't have a favorite part.	Chief Complaint
I like to come home and play.	Chief Complaint
How about eye contact, has this been a problem to get engagement when visiting. I notice a lot of squirming and fidgeting, but the eyes are averting and the questions appear uncomfortable.	Chief Complaint
Is this usual, if so, and how long have you noticed it? Well it has been forever really, but definitely worse since starting school this year.	Chief Complaint
Kindergarten and first grade she did have some teachers report concerns about not paying attention and she does have trouble staying in her seat.	Chief Complaint
Sometimes she just gets up and walks out to the hallway to get something out of her backpack or to use the bathroom without asking her teacher.	Chief Complaint
Her teacher says she does this when they are in the middle of a lesson.	Chief Complaint
She also makes a lot of mistakes on her schoolwork, careless mistakes.	Chief Complaint
It is reported that her work is messy and often incomplete.	Chief Complaint
She has always had a difficult time with her room and keeping track of toys, clothes and other personal belongings.	Chief Complaint
At first the teacher was concerned that she had a hearing issue because she doesn't always listen when talked to.	Chief Complaint
She just spaces out.	Chief Complaint
She doesn't really seem too concerned about social interaction with the other kids and they don't really accept her.	Chief Complaint
Are we done yet? I want to go home.	Chief Complaint
Arianna, how is second grade going? Are you making new friends? I don't go to school today.	Chief Complaint
I get to come here.	Chief Complaint
School is hard because I have a lot of papers to do.	Chief Complaint
I don't have lots of friends.	Social History
The teacher asks lots of questions and gets upset with me because I don't remember what we are talking about.	Chief Complaint
I'm 8.	Client Details
I wish I could stay home with my baby sister.	Chief Complaint
She is so cute.	Chief Complaint
Jesus made her.	Others
Jesus is the best.	Others
Arianna, we need to talk about school and after school care.	Chief Complaint
How is afterschool care going? I don't like afterschool care.	Chief Complaint
Do you have friends there? The kids there are not nice to me.	Social History
I like to watch the shows on TV though.	Client Details
The little kids are nice to me.	Social History
I have a hard time remembering their names.	Chief Complaint
I wish my baby sister went there too.	Chief Complaint
Do you play with the other children your age in school or at afterschool care? Do they invite you to play? No.	Social History
They say I'm weird and one girl called me space case.	Chief Complaint
I play with the little kids.	Social History
Do you feel you are smart? Do you like to learn new things in school? No.	Chief Complaint
The papers are hard.	Chief Complaint
The teacher gets upset and I have to stay in and work on them at recess.	Chief Complaint
She spends a lot of time in the chair in front of the TV at afterschool care.	Chief Complaint
Her teachers say she has a difficult time completing tasks.	Chief Complaint
Her papers at school always come home with her unfinished and we to try to work at them at home after dinner.	Chief Complaint
She also spends her recesses inside to finish school work.	Chief Complaint
At her conferences with her teacher, it is reported that she is not paying attention and she just spaces off.	Chief Complaint
They also report that she is not adapting well socially.	Chief Complaint
She always struggled with this.	Chief Complaint
She is not invited to birthday parties and hardly any children came to her party when invited.	Social History
OK, first I am going to have you, parents, fill out a questionnaire and I will also send copies with you for the teachers to fill out.	Chief Complaint
These will tell us about the various behaviors that are occurring at all home, school and after school care.	Chief Complaint
We need to rule out other etiology and then may visit about the benefits of starting her on a stimulant.	Chief Complaint
Last year we weren't really wanting to do the medication, but now it seems like she needs help and we are more open to this idea.	Medical History
We are really having trouble here.	Chief Complaint
Her immunizations are current and check-up was normal before starting school.	Medical History
We are at a loss and need to see some hope.	Chief Complaint
We will rule out other etiology first, then look at medications.	Chief Complaint
I will have you fill out the questionnaire and have the teachers and principals fill one out and return them.	Chief Complaint
How about sleeping and eating habits? Is there history of previous medical conditions or issues? Bedtime is 8:00 p.m. and if she has a hard time falling asleep, we let her watch movies to wind down.	Client Details
She eats normal, fine, she has never been a big eater.	Client Details
She is healthy seems content and happy enough at home.	Client Details
Let's move to the lab.	Others
Medication can be helpful, and I would also suggest counselling in conjunction to get the best results.	Chief Complaint
As a family, the counselling can help with communication, problem solving and coping with situations that arise in school or after school.	Chief Complaint
We will see you back for a follow-up in week and see how the medication and counseling is working.	Chief Complaint
# Matt T6
Please have a seat Curt.	Others
Thank you for coming in today.	Others
How can I help you? I don't know if you can.	Chief Complaint
I hope you can.	Chief Complaint
I have been feeling angry, low and frustrated.	Chief Complaint
Do you feel depressed? I don't know.	Chief Complaint
Maybe.	Others
I don't know.	Chief Complaint
I just feel tired and fed up.	Chief Complaint
Things are irritating me and I don't have patience for anything anymore.	Chief Complaint
I don't have any energy or feel like doing anything.	Chief Complaint
I'm only 46 and feel like an old man.	Chief Complaint
How long have you felt this way? I don't know.	Chief Complaint
Maybe the last six months or so.	Chief Complaint
How do you feel when you wake up in the morning? Everything seems black and heavy.	Chief Complaint
I feel grumpy and want to avoid everything.	Chief Complaint
Have you had times where you felt tearful? Yeah.	Chief Complaint
It fluctuates between anger and uncontrolled sadness.	Chief Complaint
Little things can make me angry or cry.	Chief Complaint
This is not like me, I am not a person who cries easily, usually.	Chief Complaint
I don't know what is going on.	Chief Complaint
How are things going at work? I have been missing a lot more work lately.	Chief Complaint
I just don't feel like dealing with people.	Chief Complaint
I work for Federal Express delivery so dealing with people is the job.	Client Details
I need to ask about alcohol or drug use.	Medical History
Do you smoke cigarettes, cannabis, or drink alcohol? Are you on any medications? I also need to ask about any illicit drug use.	Medical History
This is not about legality, but so I can better assess the situation.	Others
I drink a couple of times a week, usually beer.	Medical History
It helps me relax.	Medical History
I've smoked for probably 20 years I guess.	Medical History
I have never done drugs, other than pot in high school.	Medical History
I'm on Advair for my asthma.	Medical History
Can you tell me about your personal life. Are you married? Do you have children? I'm married and have two kids.	Family History
My wife and I have been at each other's throats lately.	Chief Complaint
My kids are fourteen and fifteen.	Family History
They are also wondering why I cry and get so angry.	Chief Complaint
My wife is the one who asked me to come in and see you.	Client Details
Well her and my GP.	Client Details
How have you been sleeping? It takes me a long time to fall asleep at night.	Chief Complaint
I usually come home from work and fall asleep in the chair.	Chief Complaint
Some mornings I just can't get up.	Chief Complaint
How long does it take you to fall asleep usually? A couple of hours.	Chief Complaint
I just stare at the clock.	Chief Complaint
Do you wake up early? Yes, about 4:00 AM	Chief Complaint
Are you able to go back to sleep? No.	Chief Complaint
I just get up and feel like I didn't get any rest.	Chief Complaint
Just exhausted.	Chief Complaint
Have you noticed eating habits changing at all? Yes.	Chief Complaint
I usually battle weight for most of my adult life.	Chief Complaint
Now I don't feel like eating.	Chief Complaint
No appetite really.	Chief Complaint
My clothes are loose, so I think I've lost weight.	Chief Complaint
How are you keeping up with the family duties with your kids? They are sufficient.	Social History
Good kids.	Family History
They deserve better than how I am now.	Chief Complaint
I used to coach them in all their sports and now they don't really need my help.	Family History
How are you keeping up with looking after yourself? Well look at me.	Chief Complaint
I am a mess.	Chief Complaint
I used to dress nice and care about my appearance, but now I just get up and throw on whatever fits.	Chief Complaint
I gained weight in the last few years.	Chief Complaint
How long have you been married? Seventeen years.	Family History
She has left me once though and came back after a few days.	Social History
We don't talk much anymore.	Social History
I don't think she'll be around long.	Social History
I have asthma and am on Advair.	Medical History
Do you have anything that you do for enjoyment? No, not really.	Social History
We used to go to the movies and dinner with friends.	Social History
Used to go fishing.	Social History
I just don't feel like going out.	Social History
I used to take my kids to the ballpark and ride bikes around the neighborhood.	Social History
I just don't have the energy anymore.	Chief Complaint
I don't really have anything I enjoy.	Chief Complaint
Have you had episodes like this in the past, with feeling low, angry or fed up? When my parents divorced. I was a teenager.	Family History
I cried a lot and for no reason.	Family History
I fought a lot too.	Family History
Have you felt suicidal? No.	Medical History
Well, sometimes I feel like it would be ok if I didn't wake up.	Chief Complaint
Do you have a plan to end your life? No.	Chief Complaint
Do you feel like you could hurt someone else other than yourself? No.	Chief Complaint
My wife makes me angry though and sometimes I throw things.	Chief Complaint
She is scared I will hurt her, but I wouldn't.	Chief Complaint
I mainly just yell from my chair is what my wife and kids say.	Chief Complaint
I don't feel like myself anymore.	Chief Complaint
You mentioned you are on Advair, but have you been on an antidepressant in the past? No.	Medical History
Have you have any kind of counselling or psychotherapy before? My wife and I went when we were first married.	Medical History
It helped for a while.	Medical History
Have you ever tried to harm yourself or anyone in your home in any other way? No.	Medical History
Sometimes I just get so angry and don't know why.	Chief Complaint
I also feel so bad about it that I end up crying.	Chief Complaint
My wife and kids are tired of it.	Chief Complaint
I'm tired of it.	Chief Complaint
I'm tired of everything.	Chief Complaint
Would you be willing to try counselling and medication again to help you? I guess if it will help.	Chief Complaint
Well I need to do something.	Chief Complaint
Do you have a support system, such as family or friends that you are in contact with? Yes.	Social History
My wife's family lives here and is supportive.	Family History
My mom lives here too.	Family History
I also have a couple of close friends.	Social History
We don't talk about this stuff though.	Chief Complaint
Do you know if anyone in your family has history of depression? History of medical illnesses? No.	Family History
No one really talks about it in my family.	Family History
I don't know.	Chief Complaint
I can ask my sister if she knows about anyone.	Family History
There's some cancer and my grandfather died of a heart attack.	Family History
My dad has type II diabetes and high blood pressure.	Family History
My mom has arthritis and cholesterol issues.	Family History
I don't know a lot of details.	Chief Complaint
My sister has some kind of autoimmune problem and breaks out in skin rashes.	Family History
I forget what she calls it.	Chief Complaint
Curt, I think I will be able to help you if you are willing to proceed.	Chief Complaint
Yes.	Others
I have to.	Chief Complaint
I can't go on like this.	Chief Complaint
We will use a combination of medication and therapy.	Chief Complaint
Thank you for coming in today.	Others
It takes courage to come in and I am glad you made this choice.	Others
Me too.	Others
# Matt T7
Hi, I'm one of the psychiatrists who work here in the Department of Psychological Medicine and you are? Elizabeth, but everyone calls me Liz.	Client Details
I have spoken with your physician, Dr. Green, and have read his reports and know some of the things about why you are here today.	Medical History
However, I would like to hear from you why you have come to see me today.	Others
I am having trouble with fear of germs and fear of intruders coming to attack my family.	Chief Complaint
I feel that if I don't do certain things each day that bad things will happen.	Chief Complaint
Would you like to tell me about your troubles with cleaning, checking and counting and what you feel will happen if you don't do these? If you have questions or don't understand something at any point during this interview, please feel free to ask me for clarification.	Chief Complaint
Are you comfortable telling me about your troubles specifically? Yes.	Chief Complaint
I would like to get your help because I can't seem to get through the day without these rituals taking so much time out of my life.	Chief Complaint
They are getting worse.	Chief Complaint
Are you a person who is careful about safety? Is there anything in the house that you check on frequently? Do you have to do the same thing over and over again or in a certain way? Yes, I feel the need to wash my hands constantly.	Chief Complaint
I am afraid of getting germs from things that other people touch.	Chief Complaint
I feel I need to wash them three times every time I touch something that someone else may have touched, such as a door knob, light switch or a faucet handle.	Chief Complaint
I usually use a paper towel to open things so I don't have to touch anything directly.	Chief Complaint
If I touch something and I don't wash three times, then I am afraid that I will get germs that could cause me to get sick.	Chief Complaint
I have fears that I forget to lock the door or turn off lights, so I will go and turn the lock three times and then need to wash my hands three times.	Chief Complaint
I find this happening so much that I am late for my job.	Chief Complaint
In the morning on my way to work I have had to turn around and drive home to see if I remembered to turn off the coffee pot.	Chief Complaint
This is embarrassing because I know what I am doing but I can't stop it.	Chief Complaint
What do you feel will happen if you do not do these things over and over? I am afraid that I will get some bad germs that will get into my body and if I don't lock the door, then someone will come and attack me and my family.	Chief Complaint
If I don't check the doors and windows and lock everything three times, I just feel that something bad will happen.	Chief Complaint
Then I am afraid that I forgot to lock the doors and windows, so I am repeatedly checking on them.	Chief Complaint
Then I must wash my hands three times because of the germs.	Chief Complaint
How any times do you wash your hands a day? Probably 60 times.	Chief Complaint
I have contact dermatitis on my hands because they are irritated from the constant washing.	Medical History
Do you find that you need to change your clothing more than once a day. Yes.	Chief Complaint
I change after I come in from work or being out in public.	Chief Complaint
I have separate laundry hampers for my clothes, depending on where I wore them.	Chief Complaint
Work is different than the grocery store.	Chief Complaint
How many times are you checking the locks on the doors and windows? I check everything before I leave for work, when I come home from work and before bed and waking in the morning.	Chief Complaint
If I check three times, then it feels right.	Chief Complaint
I feel relief if I check and count three times.	Chief Complaint
How about your sleeping habits? Have you had any trouble with sleep? I wake up anxious during the night and sometimes must check things in the house like the windows, doors, coffee pot, and lights in the garage and closets.	Chief Complaint
Then I try to go back to sleep and sometimes I lay awake for hours.	Chief Complaint
So yes, my sleep is interrupted by the checking.	Chief Complaint
Do these actions seem reasonable to you or more than you should be doing? Do you spend more time on these than you would like to? I feel that I must do everything three times.	Chief Complaint
The washing, counting and checking takes up so much time and I know it is not normal.	Chief Complaint
I want to stop.	Chief Complaint
I want to feel normal again.	Chief Complaint
I have always been particular about things, but this is really taking over my life.	Chief Complaint
I want to stop but if I don't do the counting, checking and washing, then it doesn't feel right.	Chief Complaint
I feel relief when I do these things.	Chief Complaint
